"";"banalfreq";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"achar";11;-0,0511;1,0131;1,6858;-0,1257;1,1515;-0,2401;-0,0635;-0,388;-0,0357;-0,1978;-0,7672;-0,0624;-0,2849;0,3283;-0,001;-0,0862;-0,0025;-0,3534
"aqui";14;-0,0651;-0,3032;-0,1269;0,5112;-0,578;-0,8406;-0,0808;-0,1543;-0,0455;0,3567;1,9649;-0,0795;0,7154;-0,8538;-0,0013;0,6512;-0,0032;0,1904
"solicitar";11;-0,0511;-0,2382;-0,0997;0,5998;-0,4541;0,3719;-0,0635;0,2286;-0,0357;-0,1978;0,2999;-0,0624;0,3178;0,65;-0,001;-0,0862;-0,0025;-0,3534
"câmara_dos_deputados";18;-0,0837;-0,3899;-0,1632;-0,2058;-0,2966;0,7105;0,6721;0,3819;-0,0585;-0,3237;1,4011;0,6784;-0,1426;-1,2105;-0,0017;-0,1411;-0,0042;-0,2012
"acabar";13;-0,0604;-0,2815;-0,1178;-0,1486;-0,1755;0,638;0,7996;-0,4586;-0,0422;-0,2337;0,2254;-0,0738;0,268;0,4726;-0,0012;-0,1019;-0,003;0,2092
"hediondo";12;-0,0558;-0,2599;-0,1087;1,4282;-0,4954;-0,2763;-0,0692;1,214;-0,039;-0,2157;1,0507;-0,0681;-0,3108;-0,3307;-0,0011;-0,094;-0,0028;-0,3856
"oportunidade";15;-0,0697;0,2784;-0,1359;-0,1714;-0,2219;1,4559;-0,0866;-0,1731;-0,0487;-0,2697;0,4109;0,7494;-0,3886;-0,9412;-0,0014;-0,1176;-0,0035;0,537
"então";50;-0,2328;-0,2528;0,559;0,4271;0,7874;0,3271;-0,2891;-0,6184;0,5052;-0,9008;0,7027;-0,2844;-0,6863;0,6465;-0,0046;-0,3926;-0,0116;-0,5256
"polícia";17;-0,079;0,7012;-0,1541;-0,1943;-0,2711;0,4215;-0,0981;0,4125;-0,0552;-0,3057;-0,2775;-0,0965;1,8407;-0,3553;-0,0016;-0,1332;-0,0039;-0,5464
"viver";17;-0,079;0,2428;-0,1541;-0,1943;1,2114;-0,2068;-0,0981;0,4125;-0,0552;-0,3057;-1,1861;-0,0965;0,5885;-0,3553;-0,0016;-0,1332;-0,0039;0,9346
"srs";22;0,6781;1,0524;-0,1995;-0,2515;-0,9088;-0,6913;0,5959;1,0595;-0,0715;-0,3957;0,66;-0,1249;-0,1983;0,2376;-0,002;-0,1725;-0,0051;-0,2771
"aí";11;-0,0511;-0,2382;-0,0997;-0,1257;0,1881;0,3719;-0,0635;0,2286;-0,0357;1,1503;-0,3022;-0,0624;0,3178;0,3283;-0,001;-0,0862;-0,0025;-0,3534
"discutir";10;-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;0,7439;-0,0325;0,4699;-0,6974;-0,0568;0,3476;1,922;-9e-04;-0,0784;-0,0023;-0,3213
"último";12;-0,0558;0,9476;-0,1087;-0,1371;-0,1535;-0,2763;-0,0692;0,621;-0,039;0,4073;-0,3467;-0,0681;-0,3108;0,5536;-0,0011;-0,094;-0,0028;-0,3856
"existir";14;-0,0651;0,2989;-0,1269;0,5112;-0,578;1,0192;-0,0808;-0,1543;-0,0455;0,3567;-0,9766;-0,0795;-0,3627;0,7154;-0,0013;-0,1097;-0,0032;0,1904
"reconhecer";10;-0,0465;1,0865;-0,0906;-0,1143;1,2605;0,424;-0,0577;-0,3527;-0,0325;-0,1798;-0,2592;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;-0,3213
"decisão";39;-0,1815;0,2426;-0,3539;1,0984;-1,6125;0,635;-0,2254;1,1004;-0,1268;-0,7022;-0,3275;-0,2217;0,4039;0,2708;-0,0036;-0,306;-0,009;0,5208
"morte";12;-0,0558;-0,2599;-0,1087;-0,1371;-0,4954;0,711;-0,0692;0,2057;-0,039;0,4073;-0,3467;-0,0681;0,2914;0,5536;-0,0011;-0,094;-0,0028;0,2303
"voltar";12;-0,0558;0,3465;-0,1087;-0,1371;-0,1535;0,711;-0,0692;0,2057;1,0664;-0,2157;-0,3467;-0,0681;0,2914;0,2733;-0,0011;-0,094;-0,0028;-0,3856
"a";13;-0,0604;-0,2815;-0,1178;0,538;0,4783;-0,3138;-0,075;-0,4586;-0,0422;-0,2337;0,5208;-0,0738;-0,3368;0,8227;-0,0012;-0,1019;-0,003;0,2092
"dentro";12;-0,0558;-0,2599;-0,1087;-0,1371;-0,1535;0,711;-0,0692;0,2057;-0,039;-0,2157;-0,837;-0,0681;0,8227;0,9482;-0,0011;-0,094;-0,0028;-0,3856
"grande";56;0,3453;-0,6269;-0,5086;-0,2433;1,5632;-0,2495;0,7736;-0,7524;1,1866;-1,0092;0,5036;-0,3186;-1,4541;0,7416;-0,0052;-0,1334;-0,013;-0,3691
"fundamental";10;-0,0465;-0,2165;-0,0906;-0,1143;0,6424;-0,6003;-0,0577;0,2548;-0,0325;-0,1798;0,3473;-0,0568;0,3476;0,3951;-9e-04;-0,0784;-0,0023;0,2817
"papel";11;-0,0511;-0,2382;1,6858;-0,1257;-0,4541;0,3719;-0,0635;0,2286;1,1026;-0,1978;-0,7672;-0,0624;0,3178;-0,6012;-0,001;-0,0862;-0,0025;1,4131
"supremo_tribunal_federal";19;-0,0883;-0,4116;1,2398;1,0659;-0,7847;-0,5589;-0,1097;1,8807;-0,0617;-0,3417;-0,3472;-0,1079;0,5203;-1,3023;-0,0018;-0,1489;-0,0044;1,3769
"ficar";33;-0,1535;0,3173;0,8302;-0,3775;1,5866;1,2652;-0,1906;-0,5856;-0,1073;-0,594;-0,5889;-0,1875;-0,8558;0,4909;-0,0031;-0,2589;-0,0076;-0,5123
"todo";180;0,5231;-0,4603;0,5025;0,4877;-1,5253;-0,3509;0,3715;-0,612;0,4101;0,3503;-0,388;0,6867;-1,3316;0,9452;-0,0168;1,8136;-0,042;0,3903
"nome";15;-0,0697;0,2784;0,5706;-0,1714;-0,6194;0,2259;-0,0866;-0,5292;-0,0487;0,3348;-0,2134;-0,0852;0,6692;0,9949;-0,0014;-0,1176;-0,0035;-0,482
"contra";26;-0,1209;-0,5635;-0,2358;0,8374;-0,5181;0,9625;-0,1501;-0,9179;0,7525;-0,1453;-1,0714;-0,1477;1,8175;-0,574;-0,0024;0,4264;-0,006;0,9592
"importância";11;-0,0511;0,3745;-0,0997;-0,1257;1,8807;-0,6603;-0,0635;-0,388;-0,0357;-0,1978;0,6657;-0,0624;-0,2849;-0,2754;-0,001;-0,0862;-0,0025;0,2543
"voz_do_brasil";23;0,661;0,5106;-0,2085;0,3427;0,8248;0,2329;-0,1328;-0,8119;-0,0747;-0,4137;-1,6052;0,5854;-0,213;0,8928;-0,0021;0,4688;-0,0053;-0,297
"representante";12;-0,0558;0,9476;-0,1087;-0,1371;-0,1535;-0,7204;-0,0692;0,621;-0,039;-0,2157;0,2597;-0,0681;-0,3108;0,9482;-0,0011;-0,094;-0,0028;-0,3856
"assumir";10;-0,0465;-0,2165;-0,0906;-0,1143;0,2122;0,424;-0,0577;0,7439;-0,0325;1,2259;-0,6974;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;0,2817
"criar";13;-0,0604;-0,2815;-0,1178;-0,1486;-0,1755;-0,3138;0,7996;-0,1362;-0,0422;-0,2337;-0,3927;-0,0738;-0,3368;1,8523;-0,0012;0,6797;-0,003;-0,4177
"chegar";20;-0,093;-0,4333;-0,1813;-0,2287;-0,8261;0,9772;-0,1154;-0,7058;-0,065;-0,3597;0,7849;-0,1136;0,49;0,5384;-0,0018;0,5185;-0,0046;-0,2384
"direito";27;-0,1256;-0,5852;0,3656;-0,3088;-0,5475;1,2954;-0,1559;-0,189;-0,0878;-0,4858;-0,6696;-0,1534;0,3292;1,5717;-0,0025;-0,2117;-0,0062;-0,3799
"apenas";13;-0,0604;0,8887;-0,1178;0,538;-0,5367;-0,3138;-0,075;0,5699;-0,0422;1,0214;-0,3927;-0,0738;0,268;-0,3891;-0,0012;0,6797;-0,003;-0,4177
"tanto";13;-0,0604;-0,2815;-0,1178;-0,1486;-0,5367;-0,7805;-0,075;-0,1362;-0,0422;1,0214;-0,3927;0,8061;0,268;0,8227;-0,0012;-0,1019;-0,003;0,6271
"ocorrer";15;-0,0697;0,2784;-0,1359;-0,1714;-0,6194;0,2259;-0,0866;-0,1731;-0,0487;-0,2697;-0,4882;-0,0852;0,2282;0,9949;-0,0014;-0,1176;-0,0035;1,064
"tomar";11;-0,0511;-0,2382;-0,0997;0,5998;0,1881;-0,6603;-0,0635;0,6785;-0,0357;-0,1978;-0,3022;-0,0624;0,3178;0,65;-0,001;-0,0862;-0,0025;0,2543
"economia";10;-0,0465;1,0865;-0,0906;-0,1143;-0,4128;0,8913;-0,0577;-0,3527;-0,0325;-0,1798;0,3473;-0,0568;-0,259;-0,5209;-9e-04;-0,0784;-0,0023;0,8065
"aquela";11;-0,0511;-0,2382;-0,0997;-0,1257;0,1881;0,3719;0,8666;-0,388;-0,0357;-0,1978;0,2999;0,8732;-0,2849;0,3283;-0,001;-0,0862;-0,0025;0,2543
"exemplo";14;-0,0651;-0,3032;-0,1269;-0,16;-0,1983;1,0192;-0,0808;-0,4939;-0,0455;-0,2517;-0,1838;0,7767;-0,3627;1,128;-0,0013;-0,1097;-0,0032;-0,4499
"agradecer";12;-0,0558;-0,2599;-0,1087;-0,1371;0,5262;-0,2763;-0,0692;0,2057;1,0664;-0,2157;-0,837;0,8382;-0,3108;0,5536;-0,0011;0,7107;-0,0028;0,2303
"lembrar";15;-0,0697;-0,3249;-0,1359;-0,1714;0,8268;-0,392;-0,0866;-0,5292;0,9742;-0,2697;1,8002;-0,0852;-0,3886;0,3454;-0,0014;-0,1176;-0,0035;-0,482
"cadeia";10;-0,0465;0,406;-0,0906;-0,1143;-0,4128;0,424;0,9052;-0,3527;-0,0325;-0,1798;0,7563;-0,0568;-0,259;-1,1152;-9e-04;-0,0784;-0,0023;1,5283
"assassinato";12;-0,0558;-0,2599;-0,1087;-0,1371;-0,4954;0,3272;-0,0692;0,2057;-0,039;-0,2157;-0,3467;-0,0681;0,8227;1,4605;-0,0011;-0,094;-0,0028;-0,3856
"manter";16;-0,0744;-0,3466;-0,145;0,4639;-0,6607;0,4665;0,7178;-0,1925;-0,052;-0,2877;-0,5375;-0,0908;0,6271;0,5429;-0,0015;-0,1254;-0,0037;0,4983
"nenhum";18;-0,0837;0,2273;-0,1632;-0,2058;-0,7434;1,6704;-0,1039;-0,6352;-0,0585;0,2795;-0,6389;-0,1022;-0,4664;0,4127;-0,0017;-0,1411;-0,0042;1,4551
"entender";21;-0,0976;-0,455;-0,1904;-0,2401;-0,3764;1,3505;-0,1212;-0,7412;-0,0682;0,6811;1,1032;-0,1193;1,5195;-1,4885;-0,0019;-0,1646;-0,0049;-0,2576
"defender";18;0,7564;-0,3899;1,2823;-0,2058;-0,7434;0,7105;1,6382;-0,2329;0,8997;0,2795;-0,6389;-0,1022;-0,4664;-0,2123;-0,0017;-0,1411;-0,0042;-0,2012
"meio";26;-0,1209;0,4404;-0,2358;0,3047;0,3733;-0,8752;1,3406;-0,1745;-0,0845;-0,1453;-1,0714;-0,1477;-0,674;0,9481;-0,0024;-0,2039;-0,006;0,9592
"especial";14;-0,0651;0,8354;-0,1269;-0,16;1,4937;0,2551;-0,0808;-0,4939;-0,0455;-0,2517;-0,4399;1,8624;-0,3627;-0,8538;-0,0013;-0,1097;-0,0032;0,5797
"importante";71;0,273;-0,2641;-0,6454;1,4339;-0,273;-1,8666;1,1734;-1,6645;-0,2313;1,1722;-0,4218;0,2177;1,2868;0,4757;-0,0066;0,4398;-0,0165;-0,2182
"atenção";17;-0,079;1,3306;-0,1541;0,4428;-0,702;-0,2068;-0,0981;0,8479;-0,0552;-0,3057;-1,1861;-0,0965;0,5885;0,2528;-0,0016;-0,1332;-0,0039;0,463
"legislativo";13;-0,0604;0,3214;-0,1178;-0,1486;-0,1755;-0,3138;1,9122;0,5699;-0,0422;-0,2337;-0,3927;0,8061;0,7663;-1,45;-0,0012;-0,1019;-0,003;0,6271
"haver";26;-0,1209;-0,5635;-0,2358;-0,2973;-1,0742;1,8614;-0,1501;0,8536;-0,0845;-0,1453;0,4685;-0,1477;-0,674;0,2559;-0,0024;-0,2039;-0,006;0,2501
"vereador";20;-0,093;0,1998;-0,1813;0,3879;0,9953;0,9772;1,5516;-0,2753;-0,065;-0,3597;0,4636;-0,1136;-0,1698;-1,395;-0,0018;-0,1568;-0,0046;-0,6429
