"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"população";1;5;0;7;1;3;0;3;0;2;1;0;0;7;0;3;0;3
"estar";0;2;2;1;2;5;0;5;0;0;5;0;1;6;0;0;0;2
"achar";0;2;2;0;3;1;0;0;0;0;0;0;0;3;0;0;0;0
"aqui";0;0;0;1;0;0;0;1;0;1;6;0;2;1;0;1;0;1
"solicitar";0;0;0;1;0;2;0;1;0;0;2;0;1;4;0;0;0;0
"s";0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0
"droga";0;1;0;0;0;9;0;0;0;1;0;0;0;0;0;1;0;0
"câmara_dos_deputados";0;0;0;0;1;4;1;2;0;0;6;1;1;1;0;0;0;1
"acabar";0;0;0;0;1;3;1;0;0;0;2;0;1;4;0;0;0;1
"hediondo";0;0;0;2;0;1;0;3;0;0;4;0;0;2;0;0;0;0
"família";0;3;0;4;9;1;0;1;3;0;4;0;0;13;0;0;0;0
"caso";0;0;0;4;0;9;0;5;0;1;7;0;8;6;0;0;0;0
"prisão";0;0;0;3;0;17;0;3;0;1;13;0;13;10;0;0;1;2
"junto";0;0;0;0;6;0;4;0;0;1;1;0;0;1;0;0;0;0
"luta";0;0;0;0;2;2;0;1;1;0;2;1;0;13;0;0;0;1
"oportunidade";0;1;0;0;1;5;0;1;0;0;3;1;0;1;0;0;0;2
"respeito";1;0;0;0;9;4;0;2;0;0;1;0;2;3;0;1;0;0
"então";0;2;2;2;7;7;0;2;1;0;10;0;1;14;0;0;0;2
"processo";0;0;0;1;1;8;0;4;0;0;1;0;1;2;0;0;0;1
"polícia";0;2;0;0;1;3;0;2;0;0;2;0;4;3;0;0;0;0
"lado";0;4;2;0;1;0;1;0;0;0;2;0;0;4;0;0;0;0
"viver";0;1;0;0;4;2;0;2;0;0;0;0;2;3;0;0;0;3
"líder";2;0;0;0;11;0;0;9;0;0;1;0;1;2;0;0;0;0
"atender";0;2;0;0;0;0;1;0;0;0;13;0;0;9;0;1;0;0
"srs";1;3;0;0;0;1;1;4;0;0;5;0;1;5;0;0;0;1
"imunidade";0;0;0;5;0;2;0;1;0;0;4;0;1;0;0;0;0;0
"empresa";0;0;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;11
"aí";0;0;0;0;1;2;0;1;0;2;1;0;1;3;0;0;0;0
"discutir";0;0;0;0;0;0;0;2;0;1;0;0;1;6;0;0;0;0
"último";0;2;0;0;1;1;0;2;0;1;1;0;0;4;0;0;0;0
"agora";0;1;1;1;6;18;1;2;1;1;34;0;4;14;0;0;0;2
"pronunciamento";0;2;0;1;3;0;1;0;0;0;13;0;0;13;0;1;0;0
"juiz";0;0;0;0;0;6;0;1;0;0;0;0;1;0;0;0;0;3
"defesa";0;1;2;0;1;0;0;2;0;0;0;0;3;0;0;3;0;0
"pedir";4;2;0;1;6;7;3;5;0;3;2;3;0;11;0;1;0;5
"brazão";0;0;0;1;0;9;0;8;0;0;4;0;8;9;0;0;0;3
"transporte";0;3;0;0;0;1;0;0;0;4;2;0;0;0;0;0;0;2
"chique";0;0;0;1;0;4;0;7;0;0;3;0;7;3;0;0;0;3
"sociedade";0;1;0;1;2;0;0;0;2;0;1;0;3;2;0;0;0;0
"existir";0;1;0;1;0;4;0;1;0;1;0;0;0;5;0;0;0;1
"moradia";0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0
"reconhecer";0;2;0;0;3;2;0;0;0;0;1;0;0;2;0;0;0;0
"decisão";0;2;0;3;0;7;0;6;0;0;5;0;3;9;0;0;0;4
"enfermagem";9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ter";0;0;3;0;6;11;0;4;0;2;10;2;2;29;0;0;0;2
"governador";0;5;0;0;1;3;1;1;0;0;1;0;0;9;0;0;0;0
"vir";0;1;1;0;9;7;3;1;0;5;7;1;3;11;0;0;0;11
"obrigar";0;2;1;0;27;3;0;0;0;0;6;0;0;0;0;0;0;0
"guarda";0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"levar";0;5;0;0;2;0;0;2;0;1;1;0;1;6;0;0;0;0
"projeto";7;1;0;0;8;2;2;0;0;6;8;4;0;11;0;3;0;8
"morte";0;0;0;0;0;3;0;1;0;1;1;0;1;4;0;0;0;1
"voltar";0;1;0;0;1;3;0;1;1;0;1;0;1;3;0;0;0;0
"a";0;0;0;1;2;1;0;0;0;0;3;0;0;5;0;0;0;1
"dentro";0;0;0;0;1;3;0;1;0;0;0;0;2;5;0;0;0;0
