"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"semana";-0,0465;0,406;0,7252;-0,1143;0,2122;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;0,3476;0,3951;-9e-04;0,7823;-0,0023;0,8065
"ontem";-0,0651;0,2989;-0,1269;-0,16;-0,578;-0,8406;-0,0808;-0,1543;1,0026;1,7638;-0,9766;-0,0795;-0,3627;1,6441;-0,0013;-0,1097;-0,0032;0,1904
"tudo";-0,0976;-0,1379;0,4499;-0,2401;0,9341;0,5483;-0,1212;-0,7412;-0,0682;-0,3777;-0,7966;-0,1193;-0,5442;0,7487;-0,0019;0,501;-0,0049;0,3493
"garantia";-0,0465;-0,2165;-0,0906;0,6358;-0,4128;-0,6003;-0,0577;-0,3527;-0,0325;1,2259;2,0288;-0,0568;-0,259;-0,2237;-9e-04;-0,0784;-0,0023;-0,3213
"audiência";-0,079;0,7012;-0,1541;-0,1943;-0,702;1,7975;-0,0981;0,4125;-0,0552;0,8252;-0,5878;-0,0965;-0,4405;-1,1196;-0,0016;-0,1332;-0,0039;0,9346
"instituição";0,803;-0,3466;3,5794;-0,1829;-0,2462;-0,9608;-0,0923;-0,5646;-0,052;-0,2877;-1,1162;-0,0908;1,2113;0,5429;-0,0015;1,4904;-0,0037;-0,5142
"palavra";-0,3216;-1,4989;-0,6272;-0,7909;13,4887;-0,9815;-0,3993;1,0635;-0,2248;-1,2444;5,0632;-0,3929;-1,7929;-7,7227;-0,0064;-0,5423;-0,016;-2,224
"garantir";-0,0511;-0,2382;-0,0997;0,5998;0,1881;-0,6603;-0,0635;-0,388;-0,0357;2,0682;-0,7672;-0,0624;2,5785;-0,2754;-0,001;-0,0862;-0,0025;-0,3534
"nada";-0,0976;1,1008;-0,1904;-0,2401;-0,8674;0,5483;-0,1212;-0,2971;-0,0682;0,6811;-1,4655;-0,1193;0,462;-0,5745;-0,0019;-0,1646;-0,0049;2,5603
"trazer";-0,0697;-0,3249;-0,1359;-0,1714;-0,2219;0,2259;-0,0866;-0,1731;-0,0487;0,915;-0,2134;3,0626;-0,3886;0,3454;-0,0014;-0,1176;-0,0035;-0,482
"construir";-0,0465;-0,2165;-0,0906;1,5798;-0,4128;0,424;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;-0,259;0,3951;-9e-04;-0,0784;-0,0023;1,5283
"perder";-0,0465;-0,2165;-0,0906;-0,1143;0,2122;-0,2053;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;0,3476;1,922;-9e-04;-0,0784;-0,0023;0,2817
