document,Bormuth.GP
text116,69277549.38570923
text117,575006446.8281151
text118,30100682.344274472
text119,-498710.9827375651
text120,21238751.72522927
text121,-516050.7918625903
text122,27462785.8029227
text123,50025503.01065956
text124,520901585.6529554
text125,239810719.70792472
text126,220051792.01520362
text127,60559488.6901568
text128,4014894415.608678
text129,8855201.687785758
text130,86275000.83014202
text131,148712484.0987758
text132,-516050.7918625903
text133,19269192.10237658
text134,24104407.38712799
text135,2049555.7025271198
text136,-498710.9827375651
text137,252025.27615135757
text138,2643006.8073208765
text139,17053848.410021413
text140,17423504.241806608
text141,3973750.1346426373
text142,331378.1063011335
text143,23441543.805835195
text144,2569994.61738882
text145,-416133.14181496296
text146,62229493.4990531
text147,40574404.52553363
text148,150347105.03653058
text149,9018465.037254449
text150,110308843.31710275
text151,126861204.38112189
text152,-180058.63487732533
text153,1361594305.5339234
text154,147743215.7096581
text155,5361818.570029326
text156,7302144.306609024
text157,169806784.59255517
text158,-514808.8588022647
text159,20830272.041678883
text160,789725958.1718775
text161,-498710.9827375651
text162,110296919.63104685
text163,1109715179.180134
text164,29689605.584066167
text165,10874193.298714623
text166,68479247.77253625
text167,77551763.75736038
text168,127284147.09739704
text169,22921918.8391659
text170,9490566090.934633
text171,19175416.696969017
text172,2609549.6880470533
text173,1275966.7717837077
text174,11810866.559666948
text175,48120750.59340999
text176,602128263.220232
text177,404882655.1720546
text178,65210688.35397375
text179,546469845.8388088
text180,113185652.68650594
text181,297435587.4533224
text182,1932111.3530466584
text183,-515430.8404945053
text184,10278824.478536256
text185,1022096896.8437287
text186,383973.95736897597
text187,12874103.23557165
text188,8934167910.714687
text189,548442789.5556693
text190,-507308.3708883608
text191,49596154.97095991
text192,-300735.3815137609
text193,153160374.9984495
text194,-195444.90508628386
text195,211193291.94963622
text196,145987817.2466714
text197,159143682.5324282
text198,127275058.7718713
text199,130592430.74519244
text200,23690869.411609
text201,-481355.64929494704
text202,3147655.673231254
text203,179548675.96400824
text204,-180058.63487732533
text205,554035406.5629066
text206,22766393.73266398
text207,103707230.66952373
text208,281464.8773535113
text209,1784295.113776504
text210,6520589.6266228
text211,223741425.79828802
text212,3205279.32178447
text213,322631249.6781339
text214,273303995.887404
text215,96584805.77092198
text216,657734558.5871869
text217,473538547.09644717
text218,312582864.97477937
text219,2622286138.6238523
text220,8135393.749178044
text221,12742609.128305346
text222,5484262.008359339
text223,2355627.4781458313
text224,10367264.022060229
text225,14035015.611966562
text226,9590180.99373694
text227,238487249.37900934
text228,12893162424.29956
text229,275935527.8453684
text230,121347307.11666214
text231,295197032.94476295
text232,284941854.34585017
text233,45109740.66664596
text234,355228393.2210781
text235,-506870.9938818253
text236,-459026.654016391
text237,1238584.2522334543
text238,22616936.981114164
text239,-470320.14505032555
text240,146983956.12708473
text241,36084423.26300935
text242,140218646.98525763
text243,55659370.92265271
text244,-468808.32010939263
text245,2850176.8580815895
text246,1293364.6229647053
text247,-470320.14505032555
text248,49639759.799477056
text249,132746116.59659874
text250,427657663.1407986
text251,204290898.23926926
text252,-507868.34351922834
text253,-898.4952119874652
text254,1168512.6642716993
text255,99180081.35914499
text256,211368496.95777842
text257,181885451.34013698
text258,82010141.48316434
text259,46362539.444153115
text260,2452356688.5116863
text261,129155204.63748634
text262,39190797.969466336
text263,-470320.14505032555
text264,3046106.4381878795
text265,31538975.792317312
text266,402232631.85366625
text267,80521583.65881625
text268,33522523.353466455
text269,-507868.34351922834
text270,1011413120.8300861
text271,-509648.2984738147
text272,-405244.90747883543
text273,23781480.211523872
text274,-470320.14505032555
text275,-498710.9827375651
text276,213939820.31980026
text277,796530888.2479624
text278,108087316.28420116
text279,133024735.45318422
text280,3068306347.3795195
text281,532740354.9289961
text282,2808121590.8509026
text283,14371262.025632845
text284,3632494.777534443
text285,-515430.8404945053
text286,31508329.89128288
text287,-506761.03364508465
text288,169638946.65985915
text289,2661583.7513345275
text290,2929735.189586662
text291,2661583.7513345275
text292,647364640.6342051
text293,47573683.173511975
text294,30473509.47123614
text295,47393199.970239244
text296,187971022.7606622
