"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"saber";0,176841376317716;0,146042698615535;0,0593124734833874;-0,5130929660978;0,312915812599631;0,258418423691861;0,104951743895068;-0,907903488249225;0,174392250695015;0,0946368939056037;0,0119086236905175;0,71906223170886;0,00015026224862249;0,000102480635482859;1,69034044227609e-05;0,00126495254496901;0,00480487519043713;0,3180768838494;0,000486123176563124
"dia";0,3182114859839;-0,0108032915640391;0,114330421061445;-0,191985792831053;0,818066958227771;-0,0277734030917049;0,29392383339478;-0,493562427762877;0,79518677015582;0,000729274462613844;0,0623119208234494;0,141772034558111;0,000486534693811713;5,60782310245308e-07;6,2806662648961e-05;0,000177100706739445;0,00480487519043713;0,268035977541182;0,000345198018928247
"lei";0,326213261186519;0,463149847503144;0,137312107124191;-0,987355313533006;0,284509563237569;0,403939926744191;0,11975787704963;-0,861130010447221;0,13891793298345;0,222812477888791;0,0149411092921693;0,623328479835587;0,000448956205773114;0,000904990053289425;7,95460132970668e-05;0,00411289564582527;0,00421891480135943;0,657406916203761;0,00182334685632385
"justiça";0,324841136703011;1,67303636130067;-0,309222977603478;0,108275145929483;0,187175792744997;0,964015550481094;-0,178176497457635;0,0623889156392774;0,0440321466912685;0,929351372623975;0,0242204061830407;0,00239607450171911;0,000494652591559846;0,0131210625394782;0,000448230867821217;5,49560868442553e-05;0,00468768311262159;1,16278094210344;0,00633802657597082
"ver";0,31954203444458;-0,00838409723640654;-0,287348179786458;-0,548894585572951;0,458348401988468;-0,0120260784378568;-0,41216980810786;-0,787329768976351;0,3405237805607;0,000186528602505754;0,16715464359782;0,492135047238975;0,000490611928144408;3,37749507236647e-07;0,000396733626331912;0,00144763810019024;0,00480487519043713;0,411306985824718;0,000812857248343703
"trabalho";0,3180367439435;-0,625775241510214;1,30101936487466;-0,242672374572037;0,212294361878805;-0,417714487730912;0,868450206203536;-0,161987499515268;0,068851409646009;0,212097896424815;0,699416464344207;0,0196342295849711;0,000438585809027633;0,00169799626823218;0,00733951732659294;0,000255352819767485;0,00433610687917497;0,910400931577665;0,00359389484121021
"brazão";-0,183548021456429;1,91043175624562;-0,361474935749246;0,523830007337452;-0,0907752875332088;0,944820819149692;-0,178770607104992;0,259064734979275;0,010690250542358;0,921494812973986;0,0251683611833936;0,0426465753002654;0,000138186530683223;0,0149702604399988;0,00053594802778885;0,00112550400568973;0,00410172272354389;1,33342188469199;0,00729292010900548
"momento";0,154350509106195;0,164729098966621;0,24864097435365;-0,0484710728829239;0,454894744430721;0,485482048673828;0,732783280978952;-0,142851723904522;0,283301976760336;0,256752976535242;0,4462610272227;0,0136840194817199;0,000100511762312;0,000114483105316861;0,000260823160505235;9,91210789068113e-06;0,00421891480135943;0,217818657484843;0,000200166275840382
"caso";0,150886203875274;1,54004943962483;-0,281247433267897;0,00577278675985722;0,0959356890499919;0,979186303100259;-0,178821294532672;0,00367042354649845;0,0116276927264948;0,963840512912252;0,0245234579245158;8,33643674011502e-06;9,07144007589698e-05;0,0094503196297454;0,000315176847119714;1,32784750631972e-07;0,00398453064572835;1,05102869236248;0,00440155685148857
"obrigar";0,306712466027047;-0,802297702509398;3,39784284709978;2,14421098298274;0,0746510300410923;-0,195271977913825;0,827004104982771;0,521881489130504;0,00953453070482498;0,0519097493732499;0,710318512683255;0,228237207238674;0,000187417452933162;0,00128238453752275;0,0230013725806846;0,0091597202123807;0,00199226532286417;2,35935656577226;0,0110900712382158
