"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"201";201;0;0;0;0;0;0;0;3;3
"202";202;0;0;0;0;0;0;0;2;2
"203";203;0;0;0;0;0;0;0;2;2
"204";204;0;0;0;0;0;0;0;0;1
"205";205;0;0;0;0;0;0;0;2;2
"206";206;0;0;0;0;0;0;0;3;3
"207";207;0;0;0;0;0;0;0;0;1
"208";208;0;0;0;0;0;0;4;4;4
"209";209;0;0;0;0;0;0;0;3;3
"210";210;0;0;0;0;0;0;0;2;2
"211";211;0;0;0;0;0;0;0;3;3
"212";212;0;0;0;0;0;0;0;2;2
"213";213;0;0;0;0;0;0;0;3;3
"214";214;0;0;0;0;0;0;0;2;2
"215";215;0;0;0;0;0;0;0;2;2
"216";216;0;0;0;0;0;0;0;2;2
"217";217;0;0;0;0;0;0;0;3;3
"218";218;0;0;0;0;0;0;0;2;2
"219";219;0;0;0;0;0;0;0;3;3
"220";220;0;0;0;0;0;0;0;3;3
"221";221;0;0;0;0;0;0;0;2;2
"222";222;0;0;0;0;0;0;0;0;0
"223";223;0;0;0;0;0;0;0;2;2
"224";224;0;0;0;0;0;0;0;3;3
"225";225;0;0;0;0;0;0;0;3;3
"226";226;5;5;5;5;5;5;5;5;5
"227";227;0;0;0;0;0;0;0;3;3
"228";228;0;0;0;0;0;0;0;3;3
"229";229;0;0;0;0;0;0;0;0;1
"230";230;0;0;0;0;0;0;0;3;3
"231";231;0;0;0;0;0;0;0;0;1
"232";232;0;0;0;0;0;0;0;0;1
"233";233;5;5;5;5;5;5;5;5;5
"234";234;0;0;0;0;0;0;0;3;3
"235";235;0;0;0;0;0;0;0;3;3
"236";236;0;0;0;0;0;0;0;2;2
"237";237;0;0;0;0;0;0;0;2;2
"238";238;0;0;0;0;0;0;0;2;2
"239";239;0;0;0;0;0;0;0;3;3
"240";240;0;0;0;0;0;0;0;3;3
"241";241;0;0;0;0;0;0;0;2;2
"242";242;5;5;5;5;5;5;5;5;5
"243";243;0;0;0;0;0;0;4;4;4
"244";244;0;0;0;0;0;0;0;3;3
"245";245;0;0;0;0;0;0;0;3;3
"246";246;0;0;0;0;0;0;4;4;4
"247";247;0;0;0;0;0;0;4;4;4
"248";248;5;5;5;5;5;5;5;5;5
"249";249;0;0;0;0;0;0;0;3;3
"250";250;0;0;0;0;0;0;0;3;3
"251";251;0;0;0;0;0;0;0;3;3
"252";252;0;0;0;0;0;0;0;3;3
"253";253;0;0;0;0;0;0;0;3;3
"254";254;0;0;0;0;0;0;0;3;3
"255";255;0;0;0;0;0;0;0;3;3
"256";256;0;0;0;0;0;0;0;3;3
"257";257;0;0;0;0;0;0;0;3;3
"258";258;0;0;0;0;0;0;0;3;3
"259";259;0;0;0;0;0;0;0;3;3
"260";260;0;0;0;0;0;0;4;4;4
"261";261;0;0;0;0;0;0;0;0;0
"262";262;0;0;0;0;0;0;0;0;0
"263";263;5;5;5;5;5;5;5;5;5
"264";264;5;5;5;5;5;5;5;5;5
"265";265;5;5;5;5;5;5;5;5;5
"266";266;0;0;0;0;0;0;0;2;2
"267";267;0;0;0;0;0;0;0;2;2
"268";268;0;0;0;0;0;0;0;3;3
"269";269;0;0;0;0;0;0;0;2;2
"270";270;0;0;0;0;0;0;0;2;2
"271";271;0;0;0;0;0;0;0;3;3
"272";272;0;0;0;0;0;0;0;2;2
"273";273;5;5;5;5;5;5;5;5;5
"274";274;5;5;5;5;5;5;5;5;5
"275";275;0;0;0;0;0;0;0;0;1
"276";276;0;0;0;0;0;0;0;0;1
"277";277;0;0;0;0;0;0;0;0;1
"278";278;5;5;5;5;5;5;5;5;5
"279";279;0;0;0;0;0;0;4;4;4
"280";280;0;0;0;0;0;0;4;4;4
"281";281;0;0;0;0;0;0;0;3;3
"282";282;0;0;0;0;0;0;0;3;3
