"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"149";0;0;0;0;0;0;0;0;0
"150";0;0;0;0;0;0;0;0;0
"151";0;0;0;0;0;0;0;2;2
"152";0;0;0;0;0;0;0;2;2
"153";0;0;0;0;0;0;0;3;3
"154";0;0;0;0;0;0;0;2;2
"155";0;0;0;0;0;0;0;2;2
"156";0;0;0;0;0;0;0;2;2
"157";0;0;0;0;0;0;0;2;2
"158";0;0;0;0;0;0;0;2;2
"159";0;0;0;0;0;0;0;2;2
"160";0;0;0;0;0;0;0;0;0
"161";0;0;0;0;0;0;0;0;0
"162";0;0;0;0;0;0;0;2;2
"163";5;5;5;5;5;5;5;5;5
"164";0;0;0;0;0;0;0;0;0
"165";0;0;0;0;0;0;4;4;4
"166";0;0;0;0;0;0;4;4;4
"167";0;0;0;0;0;0;4;4;4
"168";0;0;0;0;0;0;0;2;2
"169";0;0;0;0;0;0;4;4;4
"170";0;0;0;0;0;0;0;3;3
"171";0;0;0;0;0;0;0;3;3
"172";0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;0;3;3
"174";0;0;0;0;0;0;0;3;3
"175";0;0;0;0;0;0;0;3;3
"176";0;0;0;0;0;0;0;0;0
"177";0;0;0;0;0;0;0;0;0
"178";5;5;5;5;5;5;5;5;5
"179";0;0;0;0;0;0;0;3;3
"180";0;0;0;0;0;0;4;4;4
"181";0;0;0;0;0;0;4;4;4
"182";0;0;0;0;0;0;4;4;4
"183";0;0;0;0;0;0;4;4;4
"184";0;0;0;0;0;0;4;4;4
"185";0;0;0;0;0;0;0;0;0
"186";0;0;0;0;0;0;4;4;4
"187";0;0;0;0;0;0;0;2;2
"188";0;0;0;0;0;0;4;4;4
"189";5;5;5;5;5;5;5;5;5
"190";0;0;0;0;0;0;0;3;3
"191";0;0;0;0;0;0;0;3;3
"192";0;0;0;0;0;0;0;3;3
"193";0;0;0;0;0;0;0;3;3
"194";0;0;0;0;0;0;0;3;3
"195";0;0;0;0;0;0;0;3;3
"196";0;0;0;0;0;0;0;3;3
"197";0;0;0;0;0;0;0;3;3
"198";5;5;5;5;5;5;5;5;5
"199";5;5;5;5;5;5;5;5;5
"200";5;5;5;5;5;5;5;5;5
"201";0;0;0;0;0;0;0;3;3
"202";0;0;0;0;0;0;0;2;2
"203";0;0;0;0;0;0;0;2;2
"204";0;0;0;0;0;0;0;0;1
"205";0;0;0;0;0;0;0;2;2
"206";0;0;0;0;0;0;0;3;3
"207";0;0;0;0;0;0;0;0;1
"208";0;0;0;0;0;0;4;4;4
"209";0;0;0;0;0;0;0;3;3
"210";0;0;0;0;0;0;0;2;2
"211";0;0;0;0;0;0;0;3;3
"212";0;0;0;0;0;0;0;2;2
"213";0;0;0;0;0;0;0;3;3
"214";0;0;0;0;0;0;0;2;2
"215";0;0;0;0;0;0;0;2;2
"216";0;0;0;0;0;0;0;2;2
"217";0;0;0;0;0;0;0;3;3
"218";0;0;0;0;0;0;0;2;2
"219";0;0;0;0;0;0;0;3;3
"220";0;0;0;0;0;0;0;3;3
"221";0;0;0;0;0;0;0;2;2
"222";0;0;0;0;0;0;0;0;0
"223";0;0;0;0;0;0;0;2;2
"224";0;0;0;0;0;0;0;3;3
"225";0;0;0;0;0;0;0;3;3
"226";5;5;5;5;5;5;5;5;5
"227";0;0;0;0;0;0;0;3;3
"228";0;0;0;0;0;0;0;3;3
"229";0;0;0;0;0;0;0;0;1
"230";0;0;0;0;0;0;0;3;3
"231";0;0;0;0;0;0;0;0;1
"232";0;0;0;0;0;0;0;0;1
"233";5;5;5;5;5;5;5;5;5
"234";0;0;0;0;0;0;0;3;3
"235";0;0;0;0;0;0;0;3;3
"236";0;0;0;0;0;0;0;2;2
"237";0;0;0;0;0;0;0;2;2
"238";0;0;0;0;0;0;0;2;2
"239";0;0;0;0;0;0;0;3;3
"240";0;0;0;0;0;0;0;3;3
"241";0;0;0;0;0;0;0;2;2
"242";5;5;5;5;5;5;5;5;5
"243";0;0;0;0;0;0;4;4;4
"244";0;0;0;0;0;0;0;3;3
"245";0;0;0;0;0;0;0;3;3
"246";0;0;0;0;0;0;4;4;4
"247";0;0;0;0;0;0;4;4;4
"248";5;5;5;5;5;5;5;5;5
"249";0;0;0;0;0;0;0;3;3
"250";0;0;0;0;0;0;0;3;3
"251";0;0;0;0;0;0;0;3;3
"252";0;0;0;0;0;0;0;3;3
"253";0;0;0;0;0;0;0;3;3
"254";0;0;0;0;0;0;0;3;3
"255";0;0;0;0;0;0;0;3;3
"256";0;0;0;0;0;0;0;3;3
