rápido;2;1;2;0;1
risco;1;0;4;1;0
requisito;5;0;0;0;0
república;3;2;1;0;0
reforma;0;0;4;0;0
quatro;1;1;3;1;0
pássaro;0;0;4;0;0
presidente_da_república;0;5;0;0;0
posto;2;0;4;0;0
piauí;0;0;0;0;5
oficial;1;0;0;4;0
obstruir;6;0;0;0;0
notícia;0;3;3;0;0
mãe;0;2;0;2;0
mulher;2;1;1;1;0
modalidade;1;4;0;0;0
mina;0;3;3;0;0
melhor;1;2;2;1;0
manifestar;2;0;4;0;0
mandar;5;0;1;0;0
magistrado;1;0;2;0;0
loteria;0;0;5;0;0
legislação;1;1;3;1;0
lançar;0;4;0;0;0
julgar;5;0;0;0;0
jerônimo;0;0;5;0;0
inscrever;1;0;0;0;5
indicar;5;0;0;0;0
hospital;3;0;1;2;0
habitação;0;5;0;0;0
governo_federal;0;0;5;1;0
geral;1;0;4;1;0
gente;0;0;4;2;0
gaúcho;0;1;2;3;0
federação;2;0;1;0;3
extremo;3;0;2;0;0
executivo;1;0;3;0;0
ex;3;0;1;1;0
encerrar;6;0;0;0;0
diferente;1;0;5;0;0
determinar;6;0;0;0;0
custódia;4;0;0;1;0
cuidado;0;1;5;0;0
criticar;1;2;0;1;0
contrato;0;3;3;0;0
construção;2;2;1;0;0
comunidade;0;2;1;1;0
compreender;1;1;1;2;0
começar;0;1;4;0;0
cometer;5;1;0;0;0
citar;0;5;0;0;0
cidadão;0;0;4;1;0
casa;1;3;0;0;0
buscar;0;1;2;3;0
breve;0;1;1;2;0
brasília;0;0;1;5;0
bloco;1;0;0;0;4
autazes;0;4;0;0;0
atual;2;3;1;0;0
atividade;1;1;4;0;0
atingir;4;1;0;0;0
atacar;0;1;3;0;0
argentino;0;0;0;4;0
anápolis;0;0;1;3;0
ambiental;0;5;1;0;0
agricultor;0;0;6;0;0
advogado;2;0;1;0;3
acolhimento;0;0;0;5;0
acesso;1;1;1;0;0
visitar;0;1;0;4;0
visita;0;1;1;3;0
vaga;0;2;0;2;0
tribunal;4;0;1;0;0
transferência;0;0;3;0;0
tetê;0;0;2;1;0
sujeito;3;0;1;1;0
soltura;4;0;0;0;0
silvana;0;0;0;4;0
significativo;0;3;0;1;0
senador;3;0;1;0;0
secretário;1;0;1;2;0
salarial;0;1;4;0;0
rua;0;1;2;2;0
rio;0;1;1;3;0
rezar;3;0;1;0;0
retomada;0;3;1;0;0
responder;3;1;0;0;0
relatório;4;0;0;1;0
regra;2;0;2;1;0
regimental;2;0;0;0;3
rato;0;0;0;4;0
qualidade;0;1;2;1;0
providência;2;0;2;0;0
proagro;0;0;4;0;0
preservação;3;0;2;0;0
preservar;1;0;2;0;0
prejudicar;2;0;3;0;0
prefeitura;0;5;0;0;0
prazo;1;0;1;0;3
porto;1;2;0;2;0
pior;1;2;2;0;0
pessoal;4;0;0;0;0
persistir;1;1;2;0;0
pernambuco;0;0;1;0;3
pequeno;1;0;4;0;0
penal;4;0;1;0;0
pena;1;0;1;1;0
pcc;0;5;0;0;0
participação;1;3;1;0;0
orientação;0;0;0;0;5
oposição;0;1;2;1;0
opinião;3;1;1;0;0
