"";"";"";"";"dignidade";""
"135";"arroio";"0.30084802801567";"-1.195873606581";"0.895882154649685";"314"
"136";"vinda";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"315"
"137";"representação";"0.3102023917531";"-0.215664231752544";"0.895882154649685";"316"
"138";"listar";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"317"
"139";"filho";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"318"
"140";"lutar";"0.321944119883411";"-0.58667268059379";"0.892477895874032";"320"
"141";"defensoria_pública";"0.322921273400496";"-0.860549130082584";"0.891101896263926";"321"
"142";"família";"0.306772253691754";"-0.889160909302676";"0.886830936435154";"325"
"143";"abril";"0.316169349259881";"-0.846874572014344";"0.882327664983897";"330"
"144";"respeitado";"0.314364591410778";"-0.0607647846285825";"0.882327664983897";"331"
"145";"presidir";"0.309921619628227";"-1.01393932108058";"0.882327664983897";"332"
"146";"visita";"0.306720480673354";"-1.0898269364992";"0.866691305778142";"341"
"147";"instituto";"0.314203971663299";"-0.30565943663643";"0.866691305778142";"343"
"148";"cumprimentar";"0.297973659189037";"-1.32371758519193";"0.866691305778142";"344"
"149";"criança";"0.305457150178982";"-0.539550085329162";"0.866691305778142";"345"
"150";"autoria";"0.315467302157671";"-0.855936287806463";"0.866691305778142";"346"
"151";"lembrar";"0.311103923375293";"-0.304853088088438";"0.855647568647678";"351"
"152";"ficar";"0.310413751929795";"-0.541231535542279";"0.855263360964337";"352"
"153";"guerreiro";"0.292863670163914";"-1.55099576938913";"0.853690789981358";"353"
"154";"político";"-0.223869402480036";"-0.448974485469977";"0.809703477769971";"378"
"155";"acesso";"0.313526704672945";"-0.138329918709805";"0.805316362129956";"382"
